PM_PROPERTY_ID,PROPERTY_NAME,ADDRESS_OF_RECORD,POSTAL_CODE,LATITUDE,LONGITUDE
4178732,Greenleaf Extension,1124 3RD ST SW,20024,38.87675727,-77.01494602
4178732,Greenleaf Extension,1124 3RD ST SW,20024,38.87675727,-77.01494602
4178732,Greenleaf Extension,1124 3RD ST SW,20024,38.87675727,-77.01494602
3984144,Benning Court,1701 - 1713 BENNING RD NE,20002,38.89886218,-76.9784878
4000739,6035 Blair Rd NW - Blair Rd DG,6035 BLAIR RD NW,20011,38.96378222,-77.01076368
3663542,0662-Washington DC - Blair RD. N.w.,6011 BLAIR RD NW,20011,38.96320839,-77.01094857
3412227,Engine Company #13,450 6TH STREET SW,20024,38.883607,-77.019393
3989917,Jemal's Gateway DC LLC,7820 GEORGIA AV NW,20012,38.98530979,-77.02689819
3513396,Staughton Hall,707 22ND ST NW,20052,38.8988024,-77.04847823
4178732,Greenleaf Extension,1124 3RD ST SW,20024,38.87675727,-77.01494602
3513277,Faircliff Plaza West,1424 CLIFTON ST,20009,38.92229276,-77.03378971
6373282,CubeSmart (DC) - 585,645 TAYLOR ST NE,20017,38.9401684,-76.99679912
4742246,South Capitol Center LLC,4001-4031  SOUTH CAPITOL ST SW,20032,38.83077117,-77.00821811
3989890,16 Cobalt,1627 K ST NW,20006,38.9029116,-77.03767475
3989917,Jemal's Gateway DC LLC,7820 GEORGIA AV NW,20012,38.98530979,-77.02689819
3989963,Jemal's Van Ness LLC,4215 CONNECTICUT AV NW,20008,38.94378793,-77.0627492
3989917,Jemal's Gateway DC LLC,7820 GEORGIA AV NW,20012,38.98435757,-77.02740914
3412596,<10K East Potomac Pool,1100 OHIO DR SW,20242,38.87648701,-77.03364062
3412511,! Ready Reserve Garage,915 GALLATIN ST NW,20011,38.95214352,-77.0262607
3412552,! Engine Company 10,1300 FLORIDA AV NE,20002,38.9015951,-76.98669648
5007395,4108-0078,2115 BRYANT ST NE,20018,38.9209557,-76.97451402
3412511,! Ready Reserve Garage,915 GALLATIN ST NW,20011,38.95214352,-77.0262607
3412596,<10K East Potomac Pool,1100 OHIO DR SW,20242,38.87648701,-77.03364062
4178750,Colorado,5336 COLORADO AVE NW,20011,38.95540883,-77.03461929
4178735,Ontario,2422 ONTARIO RD NW,20009,38.92133704,-77.0404305
3633576,4373-0001,3015 - 3055 V ST NE,20018,38.91845145,-76.96509799
3999200,6101 Blair Rd NW - Blair Rd DG,6101 BLAIR RD NW,20011,38.96501626,-77.01149737
3412622,! Bellevue (William O. Lockridge) Library,0115  ATLANTIC ST SW,20032,38.83133329,-77.00936719
4178759,2905 11th St,2905 11TH ST NW,20001,38.92705952,-77.02684296
5007395,4108-0078,2115 - 2119 BRYANT ST NE,20018,38.92087115,-76.97496317
6776114,1850 New York Ave (402) - CubeSmart,1850 NEW YORK AVE NE,20002,38.91780084,-76.97575581
3412592,! Mt. Pleasant Library,3160 16TH ST NW,20010,38.93047518,-77.03714689
3412123,! Engine Company 16,1018 13TH ST NW,20005,38.90331845,-77.03001792
3999186,6031 Kansas Ave NW - Kansas Ave DG,6031 KANSAS AVE NW,20011,38.963088,-77.00921154
3760910,Heights I,0310 - 0390 TAYLOR ST NE,,38.94234224,-77.00317973
6373282,CubeSmart (DC) - 585,645 TAYLOR ST NE,20017,38.94017586,-76.9968014
4378445,Aventine Fort Totten Building 3,350 GALLOWAY ST,20011,38.95286508,-77.00019807
3999374,Northeast Transfer Station,2160 QUEENS CHAPEL RD NE,20018,38.92066176,-76.97372837
3984106,Azeeze Bates,1515 F ST NE,20002,38.89618283,-76.98274949
3374793,# Recorder of Deeds,0515 D ST NW,20001,38.89497119,-77.01953671
4178752,Columbia Road,1475 COLUMBIA ROAD NW,20009,38.927594,-77.03509
3999200,6101 Blair Rd NW - Blair Rd DG,6101 BLAIR RD NW,20011,38.96501626,-77.01149737
3365962,! Turner Elementary School,1720 ALABAMA AV SE,20020,38.84764388,-76.9803155
3999200,"Blair Road Development Group, LLC 0835",6101 BLAIR RD NW,20011,38.96454961,-77.01118959
3998710,Brookland Artspace Lofts,3305 - 3313 8TH ST NE,20017,38.93070818,-76.99458818
6286671,Capital East - 518,518 9TH ST NE,20002,38.89671308,-76.99399083
3412484,Engine Company #31,3601 EVERETT ST NW,20008,38.9541806,-77.06995536
3412511,Ready Reserve Garage,915 GALLATIN ST NW,20011,38.95214352,-77.0262607
3412511,Ready Reserve,915 GALLATIN ST NW,20011,38.95214352,-77.0262607
3412596,East Potomac Pool,1100 OHIO DR SW,20242,38.87648701,-77.03364062
6776112,1701 Florida Ave (106) - CubeSmart,1701 FLORIDA AV NW,20009,38.91861015,-77.03936602
3412511,Ready Reserve,915 GALLATIN ST NW,20011,38.95214352,-77.0262607
3412558,Cleveland Park Library,3310  CONNECTICUT AVE NW,20008,38.93382326,-77.05784489
3412511,Ready Reserve,915 GALLATIN ST NW,20011,38.95214352,-77.0262607
6706911,2135 5th Street NE Building (818032),2135 5TH ST NE,20260,38.91912683,-76.99921195
4005338,Connecticut Plaza,2331 CATHEDRAL AV NW,20008,38.92825582,-77.0533639
2035970,The Henry J Kaiser Family Foundation,1330 G ST NW,20005,38.89806328,-77.03093447
3412548,! New Endeavors Shelter N St NW,0611 N ST NW,20001,38.9074793,-77.02056163
3412187,X Adam's Place Emergency Shelter,2210 ADAMS PL NE,20018,38.91962975,-76.97487854
4006362,Sandrock Associates L/P,0600 - 0602 RHODE ISLAND AV NE,20002,38.92088561,-76.99870326
3999186,6031 Kansas Ave NW - Kansas Ave DG,6031 KANSAS AVE NW,20011,38.963088,-77.00921154
5813424,"Meitnerium Alpha, LLC",1990 M ST NW,20036,38.90546928,-77.04451573
3412137,! DPR Supportive Services and Transportation,1325 S ST NW,20009,38.91450867,-77.03050817
3365882,Mann Elementary,4430 NEWARK ST,20016,38.93429976,-77.0878285
3412573,<10K Engine Company #8,1520 C ST SE,20003,38.88554764,-76.98294585
4378445,Aventine Fort Totten Building 3,350 GALLOWAY ST,20011,38.95286508,-77.00019807
3504818,"Jemal's Premium, LLC",3300 NEW YORK AV NE,20002,38.91737257,-76.95976641
3541006,Cromwell,1515 OGDEN ST NW,20010,38.93605897,-77.03489469
3999186,"Kansas Avenue Development Group, LLC",6031 KANSAS AV NW,20011,38.96313418,-77.00934759
3412604,X MPD Evidence Control Branch,4600 SHEPHERD PARKWAY SW,20032,38.81346215,-77.01487796
3760909,Pentacle Apartments,1501 - 1523 BENNING RD NE,,38.89938828,-76.98256662
3512611,Northern Bus,4701 14TH ST NW,,38.94714772,-77.031768
3412596,<10K East Potomac Pool,1100 OHIO DR SW,20242,38.87648701,-77.03364062
4005338,Connecticut Plaza,2331 CATHEDRAL AV NW,20008,38.92825582,-77.0533639
3412534,Addison Elementary (under modernization),3246 P ST NW,20007,38.90802702,-77.06454013
4060691,Cook Hall,0511 FAIRMONT ST NW,20059,38.92540864,-77.02170854
4006362,Sandrock Associates L/P,0600 - 0602 RHODE ISLAND AV NE,20002,38.92088561,-76.99870326
3412511,! Ready Reserve Garage,915 GALLATIN ST NW,20011,38.95214352,-77.0262607
3412573,<10K Engine Company #8,1520 C ST SE,20003,38.88554764,-76.98294585
3876584,DPW Vehicle Maintenance Facility 2A,1242  MOUNT OLIVET RD NE,20002,38.91100481,-76.98345596
4005326,Faircliff Plaza East,1350 FAIRMONT ST,20009,38.92426774,-77.03169942
3518922,29207-Washington DC/Bladensburg Rd NE,1618 BLADENSBURG ROAD NE,20002,38.91217358,-76.97674386
4005427,Connecticut Plaza,2915 CONNECTICUT AV NW,20008,38.92867202,-77.05396394
5047441,Capital East Apartment (518),518 9TH ST NE,20002,38.89671308,-76.99399083
4178738,Elvans Road,2440 - 2458 ELVANS RD SE,20020,38.85399214,-76.98846551
4178735,Ontario,2422 ONTARIO RD NW,20009,38.92133704,-77.0404305
2035970,The Henry J Kaiser Family Foundation,1330 G ST NW,20005,38.89806328,-77.03093447
3267016,500 First Street NW,500 1ST ST NW,20001,38.89638414,-77.01257881
3374827,! Embassy Building 10,3149  16TH ST NW,20010,38.93015679,-77.03610829
4855813,Chillum Manor - 3,5320 - 5326 ROCK CREEK CHURCH RD NE,20011,38.954019,-77.00825626
2035970,The Henry J Kaiser Family Foundation,1330 G ST NW,20005,38.89806328,-77.03093447
1347463,Congressional Building,422 1ST ST SE,20003,38.88425524,-77.00556064
3412187,X Adam's Place Emergency Shelter,2210 ADAMS PL NE,20018,38.91962975,-76.97487854
6277427,Faircliff West,1400 - 1404 EUCLID ST NW,20009,38.92320616,-77.03237741
3412123,! Engine Company 16,1018 13TH ST NW,20005,38.90331845,-77.03001792
3316403,Congress Park II,1325 - 1333 SAVANNAH ST SE,20032,38.84322793,-76.98707425
4060691,Cook Hall,0511 FAIRMONT ST NW,20059,38.92540864,-77.02170854
3982215,301 N Street LTD Partnership,0301 N ST NE,20002,38.90683124,-77.00160931
4178738,Elvans Road,2440 - 2458 ELVANS RD SE,20020,38.85399214,-76.98846551
3412573,<10K Engine Company #8,1520 C ST SE,20003,38.88554764,-76.98294585
3412484,Engine Company #31,3601 EVERETT ST NW,20008,38.9541806,-77.06995536
4060691,Cook Hall,0511 FAIRMONT ST NW,20059,38.92540864,-77.02170854
3999186,6031 Kansas Ave NW - Kansas Ave DG,6031 KANSAS AVE NW,20011,38.963088,-77.00921154
3412123,! Engine Company 16,1018 13TH ST NW,20005,38.90331845,-77.03001792
4060691,Cook Hall,0511 FAIRMONT ST NW,20059,38.92538331,-77.02175417
2035970,The Henry J Kaiser Family Foundation,1330 G ST NW,20005,38.89805582,-77.03093218
4020144,McCollough Canaanland Apartments,1202 - 1216 6TH ST NW,20001,38.90665128,-77.02052369
2035970,The Henry J Kaiser Family Foundation,1330 G ST,20005,38.89803761,-77.03092958
5013045,Jemal's Pappas Tomatos,1901 FENWICK ST NE,20002,38.91459762,-76.98357101
3412573,<10K Engine Company #8,1520 C ST SE,20003,38.88554764,-76.98294585
3984805,2301 Connecticut Plaza,2301 CATHEDRAL AV NW,20008,38.92802439,-77.052803
5047441,Capital East Apartment (518),518 9TH ST NE,20002,38.89671308,-76.99399083
3412187,X Adam's Place Emergency Shelter,2210 ADAMS PL NE,20018,38.91962975,-76.97487854
3412516,! Family Shelter 37th St SE,342 37TH STREET SE,20019,38.88443239,-76.95167176
3412573,<10K Engine Company #8,1520 C ST SE,20003,38.88554764,-76.98294585
3412516,! Family Shelter 37th St SE,342 37TH STREET SE,20019,38.88443239,-76.95167176
3412596,East Potomac Pool,1100 OHIO DR SW,20242,38.87648701,-77.03364062
3987144,Secure Self Storage,5909 BLAIR RD NW,20011,38.96157973,-77.0093888
3876584,X DPW Vehicle Maintenance Facility 2A,1242  MOUNT OLIVET RD NE,20002,38.91100481,-76.98345596
3876584,DPW Vehicle Maintenance Facility 2A,1242  MOUNT OLIVET RD NE,20002,38.91100481,-76.98345596
3412484,<10K Engine Company 31,3601 EVERETT ST NW,20008,38.9541806,-77.06995536
5833933,301 N Street NE,0301 N ST NE,20002,38.90706212,-77.00156496
5013045,Jemal's Pappas Tomatos,1901 FENWICK ST NE,20002,38.91459762,-76.98357101
3412476,<10K Engine Company 25,3203 MARTIN LUTHER KING JR AV SE,20032,38.84316411,-77.00078234
4178752,Columbia Road,1475 COLUMBIA ROAD NW,20009,38.927594,-77.03509
3412484,Engine Company #31,3601 EVERETT ST NW,20008,38.9541806,-77.06995536
